h,fe_type,RMSE,MAE,R2
1,daily,31.994925058507622,23.432177785664038,0.32165109102454387
1,hourly,28.936331198679568,19.518421766924888,0.7988939438845137
1,merge,27.529008829232907,19.037113480491126,0.8270671655042694
6,daily,23.11508871378038,17.78308695353846,0.041850260584445964
6,hourly,62.01748102764103,44.06196450394814,0.12281618793335641
6,merge,44.23776930530175,32.471090082688534,0.5716118050756873
12,daily,35.440100960428964,27.023070845674216,0.589916997186965
12,hourly,57.36419202957048,40.041912614244985,0.2331735012786557
12,merge,49.32018154221646,36.31859034114248,0.46950936437993485
24,daily,49.74982069018231,31.396251958706113,-0.09701561340210511
24,hourly,58.402376602389175,41.78087451695271,0.16772666489185795
24,merge,60.62222050388039,43.849991478324974,0.17466181108546572
