pollutant,horizon_h,mode,model,rmse
C6H6(GT),1,engineered,baseline_persistence,0.47086483389255046
C6H6(GT),6,engineered,baseline_persistence,1.0622878103145224
C6H6(GT),12,engineered,baseline_persistence,1.097988613596858
C6H6(GT),24,engineered,baseline_persistence,0.7679983083196318
CO(GT),1,engineered,baseline_persistence,0.5274057338629374
CO(GT),6,engineered,baseline_persistence,1.197516953004479
CO(GT),12,engineered,baseline_persistence,1.1957825696998667
CO(GT),24,engineered,baseline_persistence,0.8584394992226155
NO2(GT),1,engineered,baseline_persistence,0.6068223672682259
NO2(GT),6,engineered,baseline_persistence,1.6643675453971325
NO2(GT),12,engineered,baseline_persistence,1.6573552948009311
NO2(GT),24,engineered,baseline_persistence,1.086501675221731
NOx(GT),1,engineered,baseline_persistence,0.5520654579406189
NOx(GT),6,engineered,baseline_persistence,1.373042400102534
NOx(GT),12,engineered,baseline_persistence,1.3340192099133312
NOx(GT),24,engineered,baseline_persistence,1.0182225122022668
C6H6(GT),1,raw,baseline_persistence,0.47086483389255046
C6H6(GT),6,raw,baseline_persistence,1.0622878103145224
C6H6(GT),12,raw,baseline_persistence,1.097988613596858
C6H6(GT),24,raw,baseline_persistence,0.7679983083196318
CO(GT),1,raw,baseline_persistence,0.5274057338629374
CO(GT),6,raw,baseline_persistence,1.197516953004479
CO(GT),12,raw,baseline_persistence,1.1957825696998667
CO(GT),24,raw,baseline_persistence,0.8584394992226155
NO2(GT),1,raw,baseline_persistence,0.6068223672682259
NO2(GT),6,raw,baseline_persistence,1.6643675453971325
NO2(GT),12,raw,baseline_persistence,1.6573552948009311
NO2(GT),24,raw,baseline_persistence,1.086501675221731
NOx(GT),1,raw,baseline_persistence,0.5520654579406189
NOx(GT),6,raw,baseline_persistence,1.373042400102534
NOx(GT),12,raw,baseline_persistence,1.3340192099133312
NOx(GT),24,raw,baseline_persistence,1.0182225122022668
