pollutant,horizon_h,mode,model_type,rmse_model,rmse_baseline,improve_abs,improve_pct
C6H6(GT),1,engineered,DecisionTree,0.560757337439605,0.4708648338925504,-0.08989250354705458,-0.19090935885767957
C6H6(GT),1,engineered,RandomForest,0.3429473488045895,0.4708648338925504,0.1279174850879609,0.2716649787381472
C6H6(GT),6,engineered,DecisionTree,0.8694483563552857,1.0622878103145224,0.19283945395923663,0.18153221009110582
C6H6(GT),6,engineered,RandomForest,0.5181317575008948,1.0622878103145224,0.5441560528136276,0.512249173463182
C6H6(GT),12,engineered,DecisionTree,1.1326998172734053,1.097988613596858,-0.03471120367654734,-0.03161344593805784
C6H6(GT),12,engineered,RandomForest,0.6191025464032496,1.097988613596858,0.4788860671936084,0.43614848210934015
C6H6(GT),24,engineered,DecisionTree,1.2935981605460427,0.7679983083196318,-0.5255998522264109,-0.6843763150682131
C6H6(GT),24,engineered,RandomForest,0.7947361633543879,0.7679983083196318,-0.02673785503475612,-0.03481499209712861
CO(GT),1,engineered,DecisionTree,0.5693956157805133,0.5274057338629374,-0.04198988191757591,-0.0796158995277216
CO(GT),1,engineered,RandomForest,0.3942282347118267,0.5274057338629374,0.1331774991511107,0.252514317915476
CO(GT),6,engineered,DecisionTree,0.9616134317443452,1.197516953004479,0.2359035212601337,0.19699388861950531
CO(GT),6,engineered,RandomForest,0.6499276911940974,1.197516953004479,0.5475892618103815,0.45727057177480596
CO(GT),12,engineered,DecisionTree,1.0185450236210178,1.1957825696998667,0.1772375460788489,0.1482188740410678
CO(GT),12,engineered,RandomForest,0.6940404376826894,1.1957825696998667,0.5017421320171773,0.41959311394136745
CO(GT),24,engineered,DecisionTree,1.358161271950495,0.8584394992226155,-0.49972177272787943,-0.5821281210620164
CO(GT),24,engineered,RandomForest,0.8624666235694939,0.8584394992226155,-0.004027124346878352,-0.004691215106626886
NO2(GT),1,engineered,DecisionTree,0.7489614582024053,0.6068223672682259,-0.14213909093417942,-0.23423508855492056
NO2(GT),1,engineered,RandomForest,0.4682719246698226,0.6068223672682259,0.13855044259840332,0.22832125193757344
NO2(GT),6,engineered,DecisionTree,1.2252135820420988,1.6643675453971325,0.43915396335503365,0.2638563606755788
NO2(GT),6,engineered,RandomForest,0.9581006422313916,1.6643675453971325,0.7062669031657409,0.4243455149789162
NO2(GT),12,engineered,DecisionTree,1.2600088285919262,1.6573552948009311,0.39734646620900493,0.2397473055146761
NO2(GT),12,engineered,RandomForest,1.0069673908534162,1.6573552948009311,0.6503879039475149,0.39242515228192787
NO2(GT),24,engineered,DecisionTree,1.4714289285271818,1.086501675221731,-0.38492725330545086,-0.35428132517779665
NO2(GT),24,engineered,RandomForest,1.006553910404118,1.086501675221731,0.07994776481761301,0.0735827349748885
NOx(GT),1,engineered,DecisionTree,0.6576777641391338,0.5520654579406189,-0.10561230619851492,-0.19130395622374685
NOx(GT),1,engineered,RandomForest,0.4237635869534412,0.5520654579406189,0.1283018709871777,0.23240336656052493
NOx(GT),6,engineered,DecisionTree,1.1046904760669083,1.373042400102534,0.2683519240356258,0.19544329003648117
NOx(GT),6,engineered,RandomForest,0.7445366443298909,1.373042400102534,0.6285057557726432,0.4577467933442613
NOx(GT),12,engineered,DecisionTree,1.3015595495454635,1.3340192099133312,0.03245966036786774,0.02433222859660063
NOx(GT),12,engineered,RandomForest,0.8591398899789161,1.3340192099133312,0.4748793199344151,0.35597637305782664
NOx(GT),24,engineered,DecisionTree,1.893040451233544,1.0182225122022668,-0.8748179390312771,-0.8591618517048631
NOx(GT),24,engineered,RandomForest,1.0883351992460988,1.0182225122022668,-0.070112687043832,-0.06885792270707951
C6H6(GT),1,raw,DecisionTree,0.6356949572542271,0.4708648338925504,-0.16483012336167668,-0.35005825769373616
C6H6(GT),1,raw,RandomForest,0.3896172901570036,0.4708648338925504,0.08124754373554682,0.17254961060457363
C6H6(GT),6,raw,DecisionTree,1.5340031860396757,1.0622878103145224,-0.4717153757251533,-0.44405609397465245
C6H6(GT),6,raw,RandomForest,0.6967282635835319,1.0622878103145224,0.36555954673099045,0.34412476843046474
C6H6(GT),12,raw,DecisionTree,1.083260159199994,1.097988613596858,0.014728454396863988,0.013414031998579311
C6H6(GT),12,raw,RandomForest,0.7507660174962865,1.097988613596858,0.3472225961005715,0.3162351519867939
C6H6(GT),24,raw,DecisionTree,1.3148879070927937,0.7679983083196318,-0.5468895987731619,-0.7120974002791071
C6H6(GT),24,raw,RandomForest,0.9113066964243656,0.7679983083196318,-0.14330838810473379,-0.18659987470322725
CO(GT),1,raw,DecisionTree,0.6424851135171034,0.5274057338629374,-0.11507937965416593,-0.21819895436342152
CO(GT),1,raw,RandomForest,0.4195241172154146,0.5274057338629374,0.10788161664752283,0.20455146715480946
CO(GT),6,raw,DecisionTree,1.0386824040415694,1.197516953004479,0.1588345489629095,0.13263657651309713
CO(GT),6,raw,RandomForest,0.7457174599606354,1.197516953004479,0.4517994930438435,0.37728024802514315
CO(GT),12,raw,DecisionTree,1.159434047345526,1.1957825696998667,0.03634852235434072,0.03039726725859865
CO(GT),12,raw,RandomForest,0.7744986618456855,1.1957825696998667,0.42128390785418124,0.3523081189918336
CO(GT),24,raw,DecisionTree,1.5232927879327889,0.8584394992226155,-0.6648532887101734,-0.7744905602692447
CO(GT),24,raw,RandomForest,0.9445774889734398,0.8584394992226155,-0.08613798975082432,-0.10034252830727039
NO2(GT),1,raw,DecisionTree,0.7423085786237769,0.6068223672682259,-0.13548621135555095,-0.22327161730289963
NO2(GT),1,raw,RandomForest,0.4895641666180887,0.6068223672682259,0.1172582006501372,0.19323315516203948
NO2(GT),6,raw,DecisionTree,1.3350470331488578,1.6643675453971325,0.32932051224827474,0.19786525708159974
NO2(GT),6,raw,RandomForest,1.01672755410804,1.6643675453971325,0.6476399912890924,0.3891207762853607
NO2(GT),12,raw,DecisionTree,1.355953194908749,1.6573552948009311,0.30140209989218203,0.18185726430396093
NO2(GT),12,raw,RandomForest,1.0621162398438295,1.6573552948009311,0.5952390549571016,0.3591499401633113
NO2(GT),24,raw,DecisionTree,1.4785092603350558,1.086501675221731,-0.3920075851133249,-0.36079795738310744
NO2(GT),24,raw,RandomForest,1.0277174069442936,1.086501675221731,0.058784268277437324,0.05410416717989943
NOx(GT),1,raw,DecisionTree,0.873651410764238,0.5520654579406189,-0.3215859528236191,-0.5825141714593733
NOx(GT),1,raw,RandomForest,0.4397313174192364,0.5520654579406189,0.11233414052138252,0.20347974847117745
NOx(GT),6,raw,DecisionTree,1.211456008197096,1.373042400102534,0.1615863919054381,0.11768492502006594
NOx(GT),6,raw,RandomForest,0.8780412423567028,1.373042400102534,0.4950011577458313,0.36051410918473187
NOx(GT),12,raw,DecisionTree,1.422438896683366,1.3340192099133312,-0.08841968677003487,-0.06628066980818015
NOx(GT),12,raw,RandomForest,0.9730158624952522,1.3340192099133312,0.36100334741807905,0.2706133050674231
NOx(GT),24,raw,DecisionTree,1.7577035320821812,1.0182225122022668,-0.7394810198799144,-0.726246975506881
NOx(GT),24,raw,RandomForest,1.0768299409410087,1.0182225122022668,-0.05860742873874192,-0.05755856704835822
