mode,pollutant,h,n_tr,n_te,n_feat,te_time_min,te_time_max
engineered,C6H6(GT),1,4724,2230,146,2005-01-01 00:00:00,2005-04-04 13:00:00
engineered,C6H6(GT),6,4719,2225,146,2005-01-01 00:00:00,2005-04-04 08:00:00
engineered,C6H6(GT),12,4713,2219,146,2005-01-01 00:00:00,2005-04-04 02:00:00
engineered,C6H6(GT),24,4701,2207,146,2005-01-01 00:00:00,2005-04-03 14:00:00
engineered,CO(GT),1,4724,2230,146,2005-01-01 00:00:00,2005-04-04 13:00:00
engineered,CO(GT),6,4719,2225,146,2005-01-01 00:00:00,2005-04-04 08:00:00
engineered,CO(GT),12,4713,2219,146,2005-01-01 00:00:00,2005-04-04 02:00:00
engineered,CO(GT),24,4701,2207,146,2005-01-01 00:00:00,2005-04-03 14:00:00
engineered,NO2(GT),1,4724,2230,146,2005-01-01 00:00:00,2005-04-04 13:00:00
engineered,NO2(GT),6,4719,2225,146,2005-01-01 00:00:00,2005-04-04 08:00:00
engineered,NO2(GT),12,4713,2219,146,2005-01-01 00:00:00,2005-04-04 02:00:00
engineered,NO2(GT),24,4701,2207,146,2005-01-01 00:00:00,2005-04-03 14:00:00
engineered,NOx(GT),1,4724,2230,146,2005-01-01 00:00:00,2005-04-04 13:00:00
engineered,NOx(GT),6,4719,2225,146,2005-01-01 00:00:00,2005-04-04 08:00:00
engineered,NOx(GT),12,4713,2219,146,2005-01-01 00:00:00,2005-04-04 02:00:00
engineered,NOx(GT),24,4701,2207,146,2005-01-01 00:00:00,2005-04-03 14:00:00
raw,C6H6(GT),1,6403,2230,62,2005-01-01 00:00:00,2005-04-04 13:00:00
raw,C6H6(GT),6,6398,2225,62,2005-01-01 00:00:00,2005-04-04 08:00:00
raw,C6H6(GT),12,6392,2219,62,2005-01-01 00:00:00,2005-04-04 02:00:00
raw,C6H6(GT),24,6380,2207,62,2005-01-01 00:00:00,2005-04-03 14:00:00
raw,CO(GT),1,6403,2230,62,2005-01-01 00:00:00,2005-04-04 13:00:00
raw,CO(GT),6,6398,2225,62,2005-01-01 00:00:00,2005-04-04 08:00:00
raw,CO(GT),12,6392,2219,62,2005-01-01 00:00:00,2005-04-04 02:00:00
raw,CO(GT),24,6380,2207,62,2005-01-01 00:00:00,2005-04-03 14:00:00
raw,NO2(GT),1,6403,2230,62,2005-01-01 00:00:00,2005-04-04 13:00:00
raw,NO2(GT),6,6398,2225,62,2005-01-01 00:00:00,2005-04-04 08:00:00
raw,NO2(GT),12,6392,2219,62,2005-01-01 00:00:00,2005-04-04 02:00:00
raw,NO2(GT),24,6380,2207,62,2005-01-01 00:00:00,2005-04-03 14:00:00
raw,NOx(GT),1,6403,2230,62,2005-01-01 00:00:00,2005-04-04 13:00:00
raw,NOx(GT),6,6398,2225,62,2005-01-01 00:00:00,2005-04-04 08:00:00
raw,NOx(GT),12,6392,2219,62,2005-01-01 00:00:00,2005-04-04 02:00:00
raw,NOx(GT),24,6380,2207,62,2005-01-01 00:00:00,2005-04-03 14:00:00
