pollutant,horizon_h,mode,n_features,rmse_baseline,rmse_dt,rmse_rf
C6H6(GT),1,raw,62,0.47086483389255046,5.1523742140371755,3.079257578567939
C6H6(GT),6,raw,62,1.0622878103145224,3.474681017795766,4.699737141776945
C6H6(GT),12,raw,62,1.097988613596858,9.258557183241452,6.65337363638432
C6H6(GT),24,raw,62,0.7679983083196318,13.481138588713744,15.588563076510733
CO(GT),1,raw,62,0.5274057338629374,1.1608428101590813,0.9572520242238476
CO(GT),6,raw,62,1.197516953004479,1.6756937671565602,1.482019561974471
CO(GT),12,raw,62,1.1957825696998667,2.802951346436586,1.709076932397551
CO(GT),24,raw,62,0.8584394992226155,1.5713565168334465,2.3733607462627293
NO2(GT),1,raw,62,0.6068223672682259,22.923126043600096,12.35586019500408
NO2(GT),6,raw,62,1.6643675453971325,57.754752302275655,36.71862477137192
NO2(GT),12,raw,62,1.6573552948009311,71.5057505515953,43.61569092138932
NO2(GT),24,raw,62,1.086501675221731,73.26479501666573,58.13138383228351
NOx(GT),1,raw,62,0.5520654579406189,69.00327026348319,61.394648412930685
NOx(GT),6,raw,62,1.373042400102534,105.48906290633943,110.8301241058098
NOx(GT),12,raw,62,1.3340192099133312,228.96925022177743,186.61832204397416
NOx(GT),24,raw,62,1.0182225122022668,5.105428928443867,391.183989536347
