pollutant,horizon_h,mode,rmse_baseline,rmse_dt,rmse_rf
C6H6(GT),1,engineered,3.6189650922986503,4.881543254681976,2.7071423673965604
C6H6(GT),6,engineered,8.164513947074457,6.640926532498485,4.327164158712444
C6H6(GT),12,engineered,8.438902585906803,9.419689455238156,5.5376662504754215
C6H6(GT),24,engineered,5.902668597645588,13.372933978864804,8.239612094053504
CO(GT),1,engineered,0.7765282796924261,0.9704109561854845,0.5868288281599896
CO(GT),6,engineered,1.7631696428631327,1.4394934807008652,1.011484635340897
CO(GT),12,engineered,1.7606160155561386,1.671223217941247,1.0554097376714917
CO(GT),24,engineered,1.26392738029011,2.117783986263017,1.2054599375403638
NO2(GT),1,engineered,24.960048819382003,29.890912316648087,21.304713212858715
NO2(GT),6,engineered,68.45940002759463,54.448828590484304,43.51123567526095
NO2(GT),12,engineered,68.17096946429345,56.63572275225681,42.63166796439814
NO2(GT),24,engineered,44.69040087951737,57.91508134597218,45.252668322316296
NOx(GT),1,engineered,109.74626074927022,133.20656373545603,92.3388972838577
NOx(GT),6,engineered,272.95000455845326,232.29113990088865,175.34020505981763
NOx(GT),12,engineered,265.19250199390547,247.52063086639555,184.52128567452695
NOx(GT),24,engineered,202.41460811871076,257.3677415097192,185.978046907126
C6H6(GT),1,raw,0.4708648338925504,5.152374214037176,3.079257578567939
C6H6(GT),6,raw,1.0622878103145224,3.474681017795766,4.699737141776945
C6H6(GT),12,raw,1.097988613596858,9.258557183241452,6.65337363638432
C6H6(GT),24,raw,0.7679983083196318,13.481138588713744,15.588563076510733
CO(GT),1,raw,0.5274057338629374,1.1608428101590813,0.9572520242238476
CO(GT),6,raw,1.197516953004479,1.6756937671565602,1.482019561974471
CO(GT),12,raw,1.1957825696998667,2.802951346436586,1.709076932397551
CO(GT),24,raw,0.8584394992226155,1.5713565168334465,2.3733607462627293
NO2(GT),1,raw,0.6068223672682259,22.923126043600096,12.35586019500408
NO2(GT),6,raw,1.6643675453971325,57.754752302275655,36.71862477137192
NO2(GT),12,raw,1.6573552948009311,71.5057505515953,43.61569092138932
NO2(GT),24,raw,1.086501675221731,73.26479501666573,58.13138383228351
NOx(GT),1,raw,0.5520654579406189,69.00327026348319,61.394648412930685
NOx(GT),6,raw,1.373042400102534,105.48906290633944,110.8301241058098
NOx(GT),12,raw,1.3340192099133312,228.96925022177743,186.61832204397416
NOx(GT),24,raw,1.0182225122022668,5.105428928443867,391.183989536347
